State,Function,FT_Emp,FT_Dollar,PT_Emp,PT_Dollar,FTE_Emp,FTPT_Emp,Total,Spending,Spend_Mil
CA,All other and unallocable,"52,049","368,825,811","7,170","12,713,053","55,261","59,219","381,538,864",381538864,381.538864
CO,Financial Administration,"8,477","53,029,646",401,"888,562","8,695","8,878","53,918,208",53918208,53.918208
CO,Other Government Administration,"5,263","30,638,705","1,375","1,776,084","5,692","6,638","32,414,789",32414789,32.414789
CO,Judicial and Legal,"8,077","52,977,368",768,"2,416,226","8,512","8,845","55,393,594",55393594,55.393594
CO,Police Protection,"16,799","119,465,215",766,"1,304,052","17,133","17,565","120,769,267",120769267,120.769267
CO,Fire Protection,"7,589","60,322,977","1,356","1,039,740","7,949","8,945","61,362,717",61362717,61.362717
CO,Corrections,"11,688","63,914,817",145,"362,666","11,778","11,833","64,277,483",64277483,64.277483
CO,Highways,"8,338","43,496,182",390,"886,051","8,569","8,728","44,382,233",44382233,44.382233
CO,Air Transportation,"1,585","11,248,014",108,"158,211","1,635","1,693","11,406,225",11406225,11.406225
CO,Sea and Inland Port Facilities,0,0,0,0,0,0,0,0,0
CO,Public Welfare,"9,681","46,158,018",645,"1,247,281","10,027","10,326","47,405,299",47405299,47.405299
CO,Health,"5,871","36,167,367","1,669","5,977,433","6,856","7,540","42,144,800",42144800,42.1448
CO,Hospitals,"10,081","63,808,432","2,827","11,740,558","12,028","12,908","75,548,990",75548990,75.54899
CO,Social Insurance Administration,"1,159","5,924,849",110,"301,418","1,255","1,269","6,226,267",6226267,6.226267
CO,Solid Waste Management,745,"3,388,878",113,"202,918",797,858,"3,591,796",3591796,3.591796
CO,Sewerage,"2,543","15,613,266",351,"292,745","2,614","2,894","15,906,011",15906011,15.906011
CO,Parks and Recreation,"6,606","34,017,180","11,162","8,264,769","10,082","17,768","42,281,949",42281949,42.281949
CO,Housing & Community Development,"2,276","13,249,514",328,"425,926","2,418","2,604","13,675,440",13675440,13.67544
CO,Natural Resources,"1,927","11,378,373",562,"835,000","2,161","2,489","12,213,373",12213373,12.213373
CO,Water Supply,"5,083","32,335,251",665,"632,651","5,248","5,748","32,967,902",32967902,32.967902
CO,Electric Power,"1,577","13,377,192",27,"83,179","1,598","1,604","13,460,371",13460371,13.460371
CO,Gas Supply,302,"2,236,339",0,0,302,302,"2,236,339",2236339,2.236339
CO,Transit,"3,709","21,151,245",503,"1,167,366","4,021","4,212","22,318,611",22318611,22.318611
CO,Education,"137,955","727,178,730","82,752","121,658,258","177,279","220,707","848,836,988",848836988,848.836988
CO,Libraries,"2,270","10,862,640","2,301","3,205,490","3,378","4,571","14,068,130",14068130,14.06813
CO,State liquor stores,0,0,0,0,0,0,0,0,0
CO,All other and unallocable,"7,290","41,272,458","1,559","1,567,756","7,858","8,849","42,840,214",42840214,42.840214
CT,Financial Administration,"3,462","23,146,258",530,"933,010","3,668","3,992","24,079,268",24079268,24.079268
CT,Other Government Administration,"3,145","20,410,168","1,022","1,769,950","3,547","4,167","22,180,118",22180118,22.180118
CT,Judicial and Legal,"5,317","37,465,559",217,"449,339","5,376","5,534","37,914,898",37914898,37.914898
CT,Police Protection,"9,513","79,250,137","1,196","1,374,270","9,874","10,709","80,624,407",80624407,80.624407
CT,Fire Protection,"4,232","31,660,579",760,"764,188","4,388","4,992","32,424,767",32424767,32.424767
CT,Corrections,"6,202","32,817,180",128,"287,584","6,265","6,330","33,104,764",33104764,33.104764
CT,Highways,"6,181","38,322,099",208,"358,548","6,268","6,389","38,680,647",38680647,38.680647
CT,Air Transportation,160,"1,100,454",1,371,160,161,"1,100,825",1100825,1.100825
CT,Sea and Inland Port Facilities,5,"24,273",6,"9,238",9,11,"33,511",33511,0.033511
CT,Public Welfare,"5,825","36,448,732","1,270","1,789,979","6,492","7,095","38,238,711",38238711,38.238711
CT,Health,"3,902","23,996,626",749,"1,856,802","4,246","4,651","25,853,428",25853428,25.853428
CT,Hospitals,"4,590","30,569,118","1,489","7,281,375","5,893","6,079","37,850,493",37850493,37.850493
CT,Social Insurance Administration,446,"3,295,446",1,"4,641",447,447,"3,300,087",3300087,3.300087
CT,Solid Waste Management,713,"3,857,218",199,"232,058",803,912,"4,089,276",4089276,4.089276
CT,Sewerage,805,"5,546,477",32,"69,549",825,837,"5,616,026",5616026,5.616026
CT,Parks and Recreation,"1,530","8,094,573","2,917","1,931,788","2,358","4,447","10,026,361",10026361,10.026361
CT,Housing & Community Development,"1,321","7,419,954",290,"391,851","1,436","1,611","7,811,805",7811805,7.811805
CT,Natural Resources,682,"4,312,444",417,"325,496",858,"1,099","4,637,940",4637940,4.63794
CT,Water Supply,914,"6,448,839",16,"24,462",919,930,"6,473,301",6473301,6.473301
CT,Electric Power,232,"1,833,113",2,840,233,234,"1,833,953",1833953,1.833953
CT,Gas Supply,0,0,0,0,0,0,0,0,0
CT,Transit,633,"3,087,429",139,"261,704",702,772,"3,349,133",3349133,3.349133
CT,Education,"94,277","543,447,056","39,587","60,822,365","109,989","133,864","604,269,421",604269421,604.269421
CT,Libraries,"1,105","6,017,785","1,474","1,626,694","1,635","2,579","7,644,479",7644479,7.644479
CT,State liquor stores,0,0,0,0,0,0,0,0,0
CT,All other and unallocable,"4,076","27,993,995","1,148","1,655,730","4,486","5,224","29,649,725",29649725,29.649725
DE,Financial Administration,"1,293","5,498,092",45,"58,940","1,311","1,338","5,557,032",5557032,5.557032
DE,Other Government Administration,"1,148","5,593,387",210,"202,898","1,193","1,358","5,796,285",5796285,5.796285
DE,Judicial and Legal,"1,922","9,569,868",68,"164,118","1,962","1,990","9,733,986",9733986,9.733986
DE,Police Protection,"2,593","18,886,186",236,"318,456","2,730","2,829","19,204,642",19204642,19.204642
DE,Fire Protection,202,"1,087,953",5,"4,818",204,207,"1,092,771",1092771,1.092771
DE,Corrections,"2,824","13,443,978",43,"70,428","2,852","2,867","13,514,406",13514406,13.514406
DE,Highways,"1,940","7,696,801",47,"46,819","1,963","1,987","7,743,620",7743620,7.74362
DE,Air Transportation,46,"214,802",5,"7,156",49,51,"221,958",221958,0.221958
DE,Sea and Inland Port Facilities,149,"769,319",83,"65,296",178,232,"834,615",834615,0.834615
DE,Public Welfare,"1,437","4,920,231",196,"384,865","1,575","1,633","5,305,096",5305096,5.305096
DE,Health,"2,159","9,054,925",188,"394,822","2,275","2,347","9,449,747",9449747,9.449747
DE,Hospitals,"1,155","4,092,452",65,"120,643","1,191","1,220","4,213,095",4213095,4.213095
DE,Social Insurance Administration,258,"822,623",19,"26,888",266,277,"849,511",849511,0.849511
DE,Solid Waste Management,213,"924,252",20,"40,878",229,233,"965,130",965130,0.96513
DE,Sewerage,431,"2,045,509",11,"11,452",438,442,"2,056,961",2056961,2.056961
DE,Parks and Recreation,530,"1,870,806",286,"291,340",635,816,"2,162,146",2162146,2.162146
DE,Housing & Community Development,205,"1,075,521",4,"4,334",207,209,"1,079,855",1079855,1.079855
DE,Natural Resources,419,"2,089,152",78,"122,857",458,497,"2,212,009",2212009,2.212009
DE,Water Supply,182,"869,841",10,"10,458",190,192,"880,299",880299,0.880299
DE,Electric Power,119,"781,092",0,0,119,119,"781,092",781092,0.781092
DE,Gas Supply,0,0,0,0,0,0,0,0,0
DE,Transit,964,"4,792,284",26,"42,412",978,990,"4,834,696",4834696,4.834696
DE,Education,"23,270","136,817,455","11,782","19,578,166","28,534","35,052","156,395,621",156395621,156.395621
DE,Libraries,175,"754,860",380,"355,461",370,555,"1,110,321",1110321,1.110321
DE,State liquor stores,0,0,0,0,0,0,0,0,0
DE,All other and unallocable,"1,821","8,213,364",339,"341,082","1,935","2,160","8,554,446",8554446,8.554446
FL,Financial Administration,"25,359","131,783,711",958,"1,649,826","25,868","26,317","133,433,537",133433537,133.433537
FL,Other Government Administration,"12,694","77,925,861","1,556","2,095,063","13,220","14,250","80,020,924",80020924,80.020924
FL,Judicial and Legal,"30,744","142,666,665","1,108","2,282,675","31,316","31,852","144,949,340",144949340,144.94934
FL,Police Protection,"62,259","380,624,378","5,288","6,199,080","64,460","67,547","386,823,458",386823458,386.823458
FL,Fire Protection,"31,711","217,967,964","1,204","1,287,430","32,138","32,915","219,255,394",219255394,219.255394
FL,Corrections,"40,628","169,450,573",342,"475,055","40,783","40,970","169,925,628",169925628,169.925628
FL,Highways,"17,982","82,096,964",342,"470,636","18,166","18,324","82,567,600",82567600,82.5676
FL,Air Transportation,"5,068","30,278,605",305,"500,088","5,258","5,373","30,778,693",30778693,30.778693
FL,Sea and Inland Port Facilities,"1,435","8,686,323",145,"266,716","1,529","1,580","8,953,039",8953039,8.953039
FL,Public Welfare,"12,868","46,232,554",721,"955,848","13,256","13,589","47,188,402",47188402,47.188402
FL,Health,"22,515","80,113,562","1,752","2,723,917","23,524","24,267","82,837,479",82837479,82.837479
FL,Hospitals,"54,825","341,809,082","7,782","25,271,345","59,990","62,607","367,080,427",367080427,367.080427
FL,Social Insurance Administration,"2,301","8,284,593",68,"93,971","2,336","2,369","8,378,564",8378564,8.378564
FL,Solid Waste Management,"6,970","30,985,437",188,"265,949","7,083","7,158","31,251,386",31251386,31.251386
FL,Sewerage,"9,200","46,470,562",109,"157,516","9,254","9,309","46,628,078",46628078,46.628078
FL,Parks and Recreation,"15,870","62,752,421","10,601","11,041,400","20,968","26,471","73,793,821",73793821,73.793821
FL,Housing & Community Development,"5,257","26,892,592",312,"420,599","5,436","5,569","27,313,191",27313191,27.313191
FL,Natural Resources,"13,530","60,367,382","1,048","1,216,641","14,008","14,578","61,584,023",61584023,61.584023
FL,Water Supply,"13,404","68,809,693",207,"308,056","13,507","13,611","69,117,749",69117749,69.117749
FL,Electric Power,"3,490","27,604,851",86,"264,175","3,552","3,576","27,869,026",27869026,27.869026
FL,Gas Supply,646,"2,887,884",5,"10,934",649,651,"2,898,818",2898818,2.898818
FL,Transit,"9,060","45,729,799",534,"1,037,492","9,457","9,594","46,767,291",46767291,46.767291
FL,Education,"415,549","1,714,861,305","111,484","134,033,636","455,374","527,033","1,848,894,941",1848894941,1848.894941
FL,Libraries,"5,120","20,606,122","1,882","2,502,693","6,149","7,002","23,108,815",23108815,23.108815
FL,State liquor stores,0,0,0,0,0,0,0,0,0
FL,All other and unallocable,"25,143","124,006,121","3,968","4,247,345","26,637","29,111","128,253,466",128253466,128.253466
GA,Financial Administration,"11,076","51,132,885",935,"883,863","11,444","12,011","52,016,748",52016748,52.016748
GA,Other Government Administration,"6,357","28,910,588","2,310","1,872,753","6,860","8,667","30,783,341",30783341,30.783341
GA,Judicial and Legal,"14,473","67,888,209","2,342","3,037,360","15,398","16,815","70,925,569",70925569,70.925569
GA,Police Protection,"27,542","124,041,524","1,603","1,740,308","28,214","29,145","125,781,832",125781832,125.781832
GA,Fire Protection,"14,306","66,775,461","1,418","1,625,324","14,866","15,724","68,400,785",68400785,68.400785
GA,Corrections,"23,697","86,508,473","1,041","1,786,921","24,144","24,738","88,295,394",88295394,88.295394
GA,Highways,"10,993","40,318,291",335,"541,196","11,180","11,328","40,859,487",40859487,40.859487
GA,Air Transportation,"1,166","5,870,029",81,"99,309","1,217","1,247","5,969,338",5969338,5.969338
GA,Sea and Inland Port Facilities,"1,374","9,669,674",0,0,"1,374","1,374","9,669,674",9669674,9.669674
GA,Public Welfare,"7,817","25,305,640",613,"706,829","8,168","8,430","26,012,469",26012469,26.012469
GA,Health,"11,175","43,381,851","1,418","2,269,393","11,862","12,593","45,651,244",45651244,45.651244
GA,Hospitals,"25,024","132,442,368","4,108","9,551,598","27,267","29,132","141,993,966",141993966,141.993966
GA,Social Insurance Administration,"1,042","3,505,471",68,"181,881","1,080","1,110","3,687,352",3687352,3.687352
GA,Solid Waste Management,"3,575","11,745,465",605,"557,586","3,897","4,180","12,303,051",12303051,12.303051
GA,Sewerage,"4,876","21,790,151",57,"72,195","4,902","4,933","21,862,346",21862346,21.862346
GA,Parks and Recreation,"7,240","24,128,112","5,172","4,706,456","9,609","12,412","28,834,568",28834568,28.834568
GA,Housing & Community Development,"2,776","11,959,304",282,"338,924","2,930","3,058","12,298,228",12298228,12.298228
GA,Natural Resources,"4,549","18,588,684","1,389","1,555,206","5,138","5,938","20,143,890",20143890,20.14389
GA,Water Supply,"5,453","23,812,731",247,"294,500","5,552","5,700","24,107,231",24107231,24.107231
GA,Electric Power,931,"4,655,502",7,"4,816",934,938,"4,660,318",4660318,4.660318
GA,Gas Supply,557,"2,489,505",4,"8,596",559,561,"2,498,101",2498101,2.498101
GA,Transit,"5,175","22,104,283",420,"695,733","5,435","5,595","22,800,016",22800016,22.800016
GA,Education,"283,665","1,312,657,247","82,939","93,946,554","311,853","366,604","1,406,603,801",1406603801,1406.603801
GA,Libraries,"2,068","7,740,779","1,398","1,148,035","2,660","3,466","8,888,814",8888814,8.888814
GA,State liquor stores,0,0,0,0,0,0,0,0,0
GA,All other and unallocable,"9,403","38,028,634","2,452","2,224,504","10,266","11,855","40,253,138",40253138,40.253138
HI,Financial Administration,"1,818","9,116,431",25,"19,726","1,823","1,843","9,136,157",9136157,9.136157
HI,Other Government Administration,"2,181","12,131,660",556,"761,816","2,360","2,737","12,893,476",12893476,12.893476
HI,Judicial and Legal,"3,318","19,666,764",94,"604,711","3,354","3,412","20,271,475",20271475,20.271475
HI,Police Protection,"3,918","29,590,346",116,"55,494","3,939","4,034","29,645,840",29645840,29.64584
HI,Fire Protection,"2,143","17,592,161",22,"73,389","2,159","2,165","17,665,550",17665550,17.66555
HI,Corrections,"2,306","13,704,698",10,"49,616","2,310","2,316","13,754,314",13754314,13.754314
HI,Highways,"1,664","8,701,523",15,"8,583","1,668","1,679","8,710,106",8710106,8.710106
HI,Air Transportation,"1,089","5,746,528",10,"13,576","1,094","1,099","5,760,104",5760104,5.760104
HI,Sea and Inland Port Facilities,228,"1,163,760",0,0,228,228,"1,163,760",1163760,1.16376
HI,Public Welfare,533,"2,539,130",144,"98,670",573,677,"2,637,800",2637800,2.6378
HI,Health,"2,391","13,556,520",62,"169,875","2,418","2,453","13,726,395",13726395,13.726395
HI,Hospitals,"2,704","17,435,443",665,"3,173,545","3,028","3,369","20,608,988",20608988,20.608988
HI,Social Insurance Administration,165,"835,486",5,"14,002",167,170,"849,488",849488,0.849488
HI,Solid Waste Management,683,"4,214,354",2,837,684,685,"4,215,191",4215191,4.215191
HI,Sewerage,822,"4,755,535",4,"1,555",822,826,"4,757,090",4757090,4.75709
HI,Parks and Recreation,"2,040","8,122,996","1,969","616,765","2,268","4,009","8,739,761",8739761,8.739761
HI,Housing & Community Development,319,"1,390,342",8,"4,827",322,327,"1,395,169",1395169,1.395169
HI,Natural Resources,"1,157","5,808,193",72,"130,282","1,188","1,229","5,938,475",5938475,5.938475
HI,Water Supply,"1,037","5,963,068",1,"2,396","1,038","1,038","5,965,464",5965464,5.965464
HI,Electric Power,0,0,0,0,0,0,0,0,0
HI,Gas Supply,0,0,0,0,0,0,0,0,0
